slug,title,image,thumbnails,cutting_price,price,sku,capacity,description/0,brand,box,connecting_wire,kit_included,warranty_period,inverter,home_features,horse_power,room_size,power_consumption,model,warranty_type,product_warranty,color_family,short_description_en,name_en,description_en,imported,product_warranty_en,quantity,delivery_option_economy,special_price,special_from_date,special_to_date,seller_promotion,package_weight,package_length,package_width,package_height,tax_class,hazmat,express_delivery
dc-inverter-window-air-conditioner-with-remote-control-r410-gas-075-ton-white,DC Inverter Window Air Conditioner With Remote Control - R410 Gas - 0.75 Ton - White,https://static-01.daraz.pk/p/e917b54e434dbcfa308f82eb500ac021.jpg_340x340q80.jpg_.webp,"https://static-01.daraz.pk/p/e917b54e434dbcfa308f82eb500ac021.jpg_80x80q80.jpg_.webp,https://static-01.daraz.pk/original/d204893750465a03e8d291eae6b88515.jpg_80x80q80.jpg_.webp,https://static-01.daraz.pk/original/39e1d38af3db080c0b0e054c00711ce7.jpg_80x80q80.jpg_.webp",,"Rs. 35,499",EA039HL1JF0CSNAFAMZ-4038669,N/A,"RotaryCompressor
Copper Winding
0.75 Ton
8500BTU
Start at 4 Amp and Stable at 2.3 Ampere
White
Type Window
Dubai Import",easytoshop,1 x DC Inverter Window Air Conditioner With Remote Control - R410 Gas - 0.75 Ton - White1 x Manual,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
dc-inverter-window-air-conditioner-with-remote-control-r410-gas-075-ton-white,DC Inverter Window Air Conditioner With Remote Control - R410 Gas - 0.75 Ton - White,https://static-01.daraz.pk/p/e917b54e434dbcfa308f82eb500ac021.jpg_340x340q80.jpg_.webp,"https://static-01.daraz.pk/p/e917b54e434dbcfa308f82eb500ac021.jpg_80x80q80.jpg_.webp,https://static-01.daraz.pk/original/d204893750465a03e8d291eae6b88515.jpg_80x80q80.jpg_.webp,https://static-01.daraz.pk/original/39e1d38af3db080c0b0e054c00711ce7.jpg_80x80q80.jpg_.webp",,"Rs. 35,499",EA039HL1JF0CSNAFAMZ-4038669,N/A,"RotaryCompressor
Copper Winding
0.75 Ton
8500BTU
Start at 4 Amp and Stable at 2.3 Ampere
White
Type Window
Dubai Import",easytoshop,1 x DC Inverter Window Air Conditioner With Remote Control - R410 Gas - 0.75 Ton - White1 x Manual,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
dc-inverter-window-air-conditioner-with-remote-control-r410-gas-075-ton-white,DC Inverter Window Air Conditioner With Remote Control - R410 Gas - 0.75 Ton - White,https://static-01.daraz.pk/p/e917b54e434dbcfa308f82eb500ac021.jpg_340x340q80.jpg_.webp,"https://static-01.daraz.pk/p/e917b54e434dbcfa308f82eb500ac021.jpg_80x80q80.jpg_.webp,https://static-01.daraz.pk/original/d204893750465a03e8d291eae6b88515.jpg_80x80q80.jpg_.webp,https://static-01.daraz.pk/original/39e1d38af3db080c0b0e054c00711ce7.jpg_80x80q80.jpg_.webp",,"Rs. 35,499",EA039HL1JF0CSNAFAMZ-4038669,N/A,"RotaryCompressor
Copper Winding
0.75 Ton
8500BTU
Start at 4 Amp and Stable at 2.3 Ampere
White
Type Window
Dubai Import",easytoshop,1 x DC Inverter Window Air Conditioner With Remote Control - R410 Gas - 0.75 Ton - White1 x Manual,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
acson-air-16-ton-cool-only-r-22-awm20j-alc20c-conditioner,Acson Air 1.6 Ton Cool Only R-22 Awm20J / Alc20C Conditioner,https://static-01.daraz.pk/original/12bde809da671c931341e785ba2e747f.jpg_340x340q80.jpg_.webp,https://static-01.daraz.pk/original/12bde809da671c931341e785ba2e747f.jpg_80x80q80.jpg_.webp,,"Rs. 115,000",AC783HL0DYQA2NAFAMZ-2919835,N/A,N/A,Acson,"1 x Indoor, 1 x Outdoor, 1 x Remote Controller, 1 x Warranty Card, 1 x user manual",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"EN
3 year compressor &1 year parts warranty",N/A,N/A,N/A,N/A,N/A,3 year compressor &1 year parts warranty,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
gree-inverter-ac-gs-18cith12g-15-ton-inverter-air-conditioner-cozy-series-heat-n-cool-grey,Gree Inverter AC - GS-18CITH12G - 1.5 ton - Inverter Air Conditioner - Cozy Series - Heat N Cool - Grey,https://static-01.daraz.pk/p/e451e9cefa59c86089145b29e98fc1dc.jpg_340x340q80.jpg_.webp,https://static-01.daraz.pk/p/e451e9cefa59c86089145b29e98fc1dc.jpg_80x80q80.jpg_.webp,"Rs. 89,900","Rs. 78,999",GR678HL0KV5HWNAFAMZ-4744951,1.5 Ton / 18000 BTU,"


	
IFEEL

The mini sensor in the remote control can sense its surrounding temperature, and transmit the signal back to the indoor unit. So the unit can adjust the air flow volume and temperature accordingly so as to provide maximum comfort.


	
SixHealthFilters

	
MultiFunction&CarbonFilter

Combines 3 filters from 6 different types including acaro bacterium filter, silver ion filter, catechin filter, chitin filter, formaldehyde beater filter, and vitamin C filter to meet your various needs simultaneously.


	
ActiveCarbonFilter:

Active Carbon filter can absorb Smoke, Pet Odours, and other unpleasant odours to make your environment cleaner and healthier.


	
LowVoltageStartup

Lower voltage start up enables the compressor to start operating with a low current input and does no harm to the PCB Board.

With low voltage start up, the air conditioner performs well even in electricity fluctuation situations that Pakistan faces during summer season.


	
4FanSpeed

From super low to turbo, choose desired air flow.


	
AutoClean(X-Fan)

Cross flow fan continues blowing to dry inside of indoor unit after switching off the unit so as to keep clean and healthy.


	
LowNoise

Noise lowers to 33dB, making you feel like staying on the Moon.


	
4WayOutlet

The louvre can be vertically and horizontally adjusted so as to maximized comfort in the room.

Superior Cooling

Gree Air Conditioners have the best capability to cool the entire room in a minute. The highly efficient power compressor of Split Air Conditioner having 1.5 Ton - GS-18CITH2G gives the best cooling even on the hottest of days even if it is 52 degrees outside, you will remain cool. It has all the features you need to have to maintain a cool environment throughout. The mechanism and body of this split air conditioner is highly durable, you install it once and it won’t let you down.

SPECIFICATIONS
Specifications for GREE GS-18CITH12G Inverter Split Air Conditioner - 1.5 Ton
GENERAL SPECS
Cooling Power in Tons	1.5 Ton
Inverter 	Yes
Warranty	3 YEARS COMPRESSOR, 1 YEAR PARTS & SERVICE
GENERAL
Adjustable resistance level	
Airflow	4-Way Air
Cold Media	
Cooling effect	Heat and Cool Function
Dehumidification	
Energy efficiency class	60% Electricity saving
Heating	Yes
Maximum local Volume (Recommendation)	
Noise level	Ultra Low Noise Control
Power consumption	
Temperature	
Timer 	
Number of hours	
Voltage	150V
Water tank	
Cooling Capacity (BTU)	18000 BTU
Cooling Power in Tons	1.5 Ton
Type 	Wall Mounted
Air Purification	
Inverter 	Yes
Color	
DIMENSIONS
Dimensions (WxHxD)	
Weight	60kg
FEATURES
Display	LED display
Functions	Heat & Cool
MISCELLANEOUS
Remote control	Yes
LINKS
Product page	
Manual	Yes
Warranty	3 YEARS COMPRESSOR, 1 YEAR PARTS & SERVICE
Warranty	3 Year Warranty",Gree,"1 x Indoor Unit, 1 x Outdoor Unit, 1 x Remote, Batteries, 1 x Wall Mount for Inner, 1 x Set of Screws, 1 x Manual(s), 1 xWarranty Card",Yes,Yes,N/A,AIr Conditioner,N/A,N/A,N/A,N/A,Cozy Series Inverter AIr Conditioner,N/A,"EN
3 Year Compressor & 1 Year Parts Warranty",N/A,N/A,N/A,N/A,N/A,3 Year Compressor & 1 Year Parts Warranty,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
kenwood-inverter-ac-kdc-1824s-glow-inverter-air-conditioner-series-75-saving-18000btu-white,Kenwood Inverter AC KDC-1824S GLOW Inverter Air Conditioner Series - 75% Saving - 18000BTU - White,https://static-01.daraz.pk/p/e4d4f9937ac8bf8315493dc93d7376c7.jpg_340x340q80.jpg_.webp,https://static-01.daraz.pk/p/e4d4f9937ac8bf8315493dc93d7376c7.jpg_80x80q80.jpg_.webp,"Rs. 90,900","Rs. 84,499",KE755HL05I2M8NAFAMZ-4063504,1.5 Ton / 18000 BTU,"Product Details Of Kenwood Inverter AC KDC-1824S GLOW Inverter Air Conditioner Series - 75% Saving - 18000BTU - White

The New Kenwood DC inverter AC promises cooling in every inch of your room. With its latest technology the eInverter Glow ensures up to 75% energy efficiency earning itself a 5 star rating. With high ambient cooling and heating function, this model is the perfect choice for both summers and winters while not compromising on energy savings.",Kenwood,1 X Inverter AC1 X Warranty Card1 X Manual1 X Remote Set,Yes,Yes,N/A,Air Conditioner Series,N/A,N/A,N/A,N/A,Glow Inverter Air Conditioner Series,N/A,"EN
05 Year Compressor Warranty01 Year Parts Warranty",N/A,N/A,N/A,N/A,N/A,05 Year Compressor Warranty01 Year Parts Warranty,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
midea-15-ton-dc-inverter-heat-and-cool-r-410a-air-conditioner,Midea 1.5 Ton Dc Inverter Heat & Cool R-410A Air Conditioner,https://static-01.daraz.pk/p/5538ed397e1dd69b035a865684c4c23b.jpg_340x340q80.jpg_.webp,https://static-01.daraz.pk/p/5538ed397e1dd69b035a865684c4c23b.jpg_80x80q80.jpg_.webp,,"Rs. 70,900",MI614HL1JTM7CNAFAMZ-4563538,1.5 Ton / 18000 BTU,"Midea Group is a world’s leading technologies group in consumer appliances, HVAC systems, robotics and industrial automation systems. Since the 1st Midea air conditioner came out in 1985, Midea has formed a global industrial layout for its residential air conditioners. Owning 6 domestic and 5 overseas manufacturing bases, Midea has full range residential AC products: Split, Window, Portable, Dehumidifier and Light Commercial. Annual production capacity is over 33 million sets, equipped with the largest and most advanced CKD & SKD production lines and workshops with capacity over 3 million.With China’s most complete AC industrial chain, professional R&D lab and internationalized manufacturing bases, Midea residential air conditioners have ranked No.1 of export sales for consecutive 10 years.",Midea,"1 x Indoor, 1 x Outdoor, 1 x Remote Controller, 1 x Warranty Card",No,No,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,"EN
3 year compressor & 1 year parts warranty",N/A,N/A,N/A,N/A,N/A,3 year compressor & 1 year parts warranty,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
gree-18cithi-12g-dc-inverter-ac-15-ton,Gree 18CITHI 12G- DC Inverter AC - 1.5 Ton,https://static-01.daraz.pk/p/mdc/177240a460753261a415bf6774906661.jpg_340x340q80.jpg_.webp,https://static-01.daraz.pk/p/mdc/177240a460753261a415bf6774906661.jpg_80x80q80.jpg_.webp,"Rs. 99,999","Rs. 84,999",2779851_PK-1252862621,1.5 Ton / 18000 BTU,"Brand Warranty
Refrigerant: R410 A gas
Applicable Room Size: 160-220 sq.ft
Current: 9 Amp
Turbo Cool
Auto restart
Long Distance Air Throw
BTU Capacity: 1.5 Ton(18000BTU)
Low Voltage Startup: 150V
Eco Friendly GAS: R410A
Energy Efficient Class A+: 60% Electricity saving",Warranty,1 x Gree 18CITHI - Inverter AC - 1.5 Ton - Grey,Yes,Yes,N/A,Yes,N/A,N/A,150-250 sq meters,0,18CITH,N/A,"EN
3 Years Brand Warranty",N/A,N/A,N/A,N/A,N/A,3 Years Brand Warranty,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Karachi
kenwood-kenwood-kes-1820s-split-inverter-ac-15-ton-tropical-75-white-five-dimension-inverter,Kenwood Kenwood KES-1820S - Split Inverter AC - 1.5 ton - Tropical - 75% - White - Five Dimension Inverter,https://static-01.daraz.pk/p/e7fe3f4901c957c9371f409e798fe16e.jpg_340x340q80.jpg_.webp,https://static-01.daraz.pk/p/e7fe3f4901c957c9371f409e798fe16e.jpg_80x80q80.jpg_.webp,"Rs. 105,000","Rs. 96,900",KE755HL0K927CNAFAMZ-3843502,1.5 Ton / 18000 BTU,"Bringing innovation to Pakistan's Electronics Industry

Kenwood fall under the umbrella of RNI Electrical Appliances (Pvt). Ltd. R&I Electrical Appliances has come a long way since its inception some 13 years ago. With a humble beginning, it grew from a small company with three people into a growing entity that employs hundreds of people.

The combined product range of our brands includes all kitchen, home and power appliances and aim at helping you uplift your comfort and standard of living.

Specifications:
Capacity:1.5 Ton
AC Functionality:Heating & Cooling
AC Design:Wall Mount
Inverter Type:DC
Cooling Capacity:18000 BTU
Heating Capacity:18000 BTU
Gas:R410A
Color:Silver
Hidden LED Display
Stabilizer not required
DC inverter compressor
Blue Fins Condenser
Long Air throw
150 Volt Compressor start
7 Star Machine
Higher Efficency Ratio (EER 4.0)
Tropical T3 Compressor
Bigger Indoor
Bigger Outdoor
5 Dimension Inverter
Free Installation Services:

Free Installation is Only available on those items where Installation offer is displayed.Free Installation is available in Karachi, Lahore & Islamabad Only
After the product has been delivered, you are welcome to contact one of our authorized service engineers to facilitate the installation. You can find details of the installation partners and their coverage areas in the link shared below. Installation TAT is typically 2-5 days depending on the location and the partner.
When booking an installation with one of our partners, you must always provide your order number. If any free installation offer is available, we will need the order number for identification.
Click on the link to avail free installation offer: https://www.daraz.pk/installation-services/",Kenwood,1 X Inverter AC eSmart1 X Warranty Card1 X manual1 X Remote Set,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,"EN
05 Year Compressor Warranty01 Year Parts Warranty",N/A,N/A,N/A,N/A,N/A,05 Year Compressor Warranty01 Year Parts Warranty,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
gree-18cith12g-inverter-ac-15-ton-black-and-white,Gree 18CITH12G - Inverter AC - 1.5 Ton - Black & White,https://static-01.daraz.pk/original/7d3af98a3ce2ad7964831578883a0d81.jpg_340x340q80.jpg_.webp,https://static-01.daraz.pk/original/7d3af98a3ce2ad7964831578883a0d81.jpg_80x80q80.jpg_.webp,,"Rs. 82,000",GR678HL0I3FWCNAFAMZ-1904554,1.5 Ton / 18000 BTU,"Summer Would Be Cooler Than Ever!
GREE Inverter Split Air Conditioner will make this summer cooler than ever with it’s instant cooling and amazing efficiency. The amazing GS-18CITH is at your service to keep the terrible heat out while providing terrific cooling in.

Loaded With Finesse & Style
A visually appealing addition to the room never goes unnoticed, the GREE GS-18CITH offers a wide range of superb features with a great look that will add on to your rooms. Great look of this GREE AC will speak out loud for your taste. Looks and features can be provided in one with this amazing GREE AC.

Electricity Bill Is No Worry!
The Gree Inverter Split Air Conditioner starts on a low voltage and does not take the budget out of your range. Gree Split Ac has every feature that makes life easier for you. While you provide the best way to prevent heat to your home this summer, GREE will take care of your pocket.",Gree,1 x GS-18CITH - Inverter Split Air Conditioner - 1.5 Ton - White1 x Manual1 x Warranty1 x Remote,No,No,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,"EN
BRAND WARRANTY",N/A,N/A,N/A,N/A,N/A,BRAND WARRANTY,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
