TITLE,URL,IMAGE,PRICE,SKU,DESCRIPTION,BRAND,BOX,WIRE,KIT,WARRANTY,INVERTER,FEATURES,TYPE,HOME FEATURES,HORSE POWER,ROOM SIZE,POWER CONSUMPTION,MODEL
Gree Inverter AC - GS-18CITH12G - 1.5 ton - Inverter  Air Conditioner - Cozy Series - Heat N Cool - Grey,www.daraz.pk/products/gree-inverter-ac-gs-18cith12g-15-ton-inverter-air-conditioner-cozy-series-heat-n-cool-grey-i1993229-s9992627.html?search=1,https://static-01.daraz.pk/p/e451e9cefa59c86089145b29e98fc1dc.jpg_340x340q80.jpg_.webp,"Rs. 78,999",GR678HL0KV5HWNAFAMZ-4744951,"





	
IFEEL

The mini sensor in the remote control can sense its surrounding temperature, and transmit the signal back to the indoor unit. So the unit can adjust the air flow volume and temperature accordingly so as to provide maximum comfort.


	
SixHealthFilters


	
MultiFunction&CarbonFilter

Combines 3 filters from 6 different types including acaro bacterium filter, silver ion filter, catechin filter, chitin filter, formaldehyde beater filter, and vitamin C filter to meet your various needs simultaneously.



	
ActiveCarbonFilter:

Active Carbon filter can absorb Smoke, Pet Odours, and other unpleasant odours to make your environment cleaner and healthier.



	
LowVoltageStartup

Lower voltage start up enables the compressor to start operating with a low current input and does no harm to the PCB Board.

With low voltage start up, the air conditioner performs well even in electricity fluctuation situations that Pakistan faces during summer season.



	
4FanSpeed

From super low to turbo, choose desired air flow.



	
AutoClean(X-Fan)

Cross flow fan continues blowing to dry inside of indoor unit after switching off the unit so as to keep clean and healthy.



	
LowNoise

Noise lowers to 33dB, making you feel like staying on the Moon.



	
4WayOutlet

The louvre can be vertically and horizontally adjusted so as to maximized comfort in the room.

Superior Cooling

Gree Air Conditioners have the best capability to cool the entire room in a minute. The highly efficient power compressor of Split Air Conditioner having 1.5 Ton - GS-18CITH2G gives the best cooling even on the hottest of days even if it is 52 degrees outside, you will remain cool. It has all the features you need to have to maintain a cool environment throughout. The mechanism and body of this split air conditioner is highly durable, you install it once and it won’t let you down.

SPECIFICATIONS
Specifications for GREE GS-18CITH12G Inverter Split Air Conditioner - 1.5 Ton
GENERAL SPECS
Cooling Power in Tons	1.5 Ton
Inverter
	Yes
Warranty	3 YEARS COMPRESSOR, 1 YEAR PARTS & SERVICE
GENERAL
Adjustable resistance level	
Airflow	4-Way Air
Cold Media	
Cooling effect	Heat and Cool Function
Dehumidification	
Energy efficiency class	60% Electricity saving
Heating	Yes
Maximum local Volume (Recommendation)	
Noise level	Ultra Low Noise Control
Power consumption	
Temperature	
Timer
	
Number of hours	
Voltage	150V
Water tank	
Cooling Capacity (BTU)	18000 BTU
Cooling Power in Tons	1.5 Ton
Type
	Wall Mounted
Air Purification	
Inverter
	Yes
Color	
DIMENSIONS
Dimensions (WxHxD)	
Weight	60kg
FEATURES
Display	LED display
Functions	Heat & Cool
MISCELLANEOUS
Remote control	Yes
LINKS
Product page	
Manual	Yes
Warranty	3 YEARS COMPRESSOR, 1 YEAR PARTS & SERVICE
Warranty	3 Year Warranty",Gree,"1 x Indoor Unit, 1 x Outdoor Unit, 1 x Remote, Batteries, 1 x Wall Mount for Inner, 1 x Set of Screws, 1 x Manual(s), 1 xWarranty Card",Yes,Yes,3 Year Compressor & 1 Year Parts Warranty, AIr Conditioner,N/A,N/A,N/A,N/A,N/A,N/A,Cozy Series Inverter AIr Conditioner
Gree GS-18FITH1W - Fairy Inverter Air Conditioner Series - White,www.daraz.pk/products/gree-gs-18fith1w-fairy-inverter-air-conditioner-series-white-i2383554-s10531945.html?search=1,https://static-01.daraz.pk/p/17cb2c02a24f53887f67b61530594f88.jpg_340x340q80.jpg_.webp,"Rs. 86,900",GR678HL0RTUHWNAFAMZ-3940305,N/A,Gree,1 X Inverter AC1 X Warranty Card1 X Manual1 X Remote Set,Yes,Yes,03 Year Compressor Warranty01 Year Parts Warranty,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Gree GS-12FITH1W - Fairy Inverter Air Conditioner Series - White,www.daraz.pk/products/gree-gs-12fith1w-fairy-inverter-air-conditioner-series-white-i2383552-s10531943.html?search=1,https://static-01.daraz.pk/p/814c510f0912443ff4b6ef017a1ccafa.jpg_340x340q80.jpg_.webp,"Rs. 66,900",GR678HL09YUCKNAFAMZ-3940302,N/A,Gree,1 X Inverter AC1 X Warranty Card1 X Manual1 X Remote Set,Yes,Yes,03 Year Compressor Warranty01 Year Parts Warranty,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Gree Inverter AC - GS-12CITH12G - 1.0ton - Inverter Air Conditioner - Cozy Series - Heat N Cool - Grey,www.daraz.pk/products/gree-inverter-ac-gs-12cith12g-10ton-inverter-air-conditioner-cozy-series-heat-n-cool-grey-i2864384-s1246026961.html?search=1,https://static-01.daraz.pk/p/5c82986baaa7bad4d5a2768859bfe676.jpg_340x340q80.jpg_.webp,"Rs. 63,900",2864384_PK-1246026961," 
 
 

Technical

BTU Capacity	

12000 BTU


Compressor W	

3517


Low Voltage Startup	

150V


Eco Friendly Refrigerant	

R410A


Energy Efficient Class A+	

60% Electricity saving


Auto Voltage Adaptation	

150V-260V

 

Cooling

BTU/H Capacity (H/S/L*)	

12970/12000/4172


Output Capacity (W) (H/S/L*)	

3800/3500/1220


Power Input (W)(H/S/L*)	

1560/1060/295


Energy Efficiency Ratio (EER)	

3.6

 

Heating

BTU/H Capacity (H/S/L*)	

14660/13650/4480


Output Capacity (W) (H/S/L*)	

4740/4000/1310


Power Input (W)(H/S/L*)	

1420/1100/330


Energy Efficiency Ratio (EER)	

3.6",Gree,"1 x 12CITHI - Inverter AC - 1 Ton - Grey, 1 x Remote, 1 x AC Kit, 1 x Booklet, 1 x Warranty Card",Yes,Yes,"03 Year Compressor Warranty, 01 Year Parts Warranty", Air Conditioner,N/A,N/A,N/A,N/A,N/A,N/A,Cozy Series Inverter Air Conditioner
Gree 18CITHI 12G- DC Inverter AC - 1.5 Ton,www.daraz.pk/products/gree-18cithi-12g-dc-inverter-ac-15-ton-i2779851-s1252862621.html?search=1,https://static-01.daraz.pk/p/49ac1ebaecc012fe6dca0198fcfc56be.jpg_340x340q80.jpg_.webp,"Rs. 79,499",2779851_PK-1252862621,"Brand Warranty
Refrigerant: R410 A gas
Applicable Room Size: 160-220 sq.ft
Current: 9 Amp
Turbo Cool
Auto restart
Long Distance Air Throw
BTU Capacity: 1.5 Ton(18000BTU)
Low Voltage Startup: 150V
Eco Friendly GAS: R410A
Energy Efficient Class A+: 60% Electricity saving", Warranty,1 x Gree 18CITHI - Inverter AC - 1.5 Ton - Grey,Yes,Yes,3 Years Brand Warranty,Yes,"Inverter,Fast Cooling",Split system 1,N/A,N/A,150-250 sq meters,0,18CITH
Gree Windows AC 0.75 Ton with Remote Control 60% Electricity Saving,www.daraz.pk/products/gree-windows-ac-075-ton-with-remote-control-60-electricity-saving-i114820460-s1266640670.html?search=1,https://static-01.daraz.pk/p/6cf9af120833805628f600f307ccf357.jpg_340x340q80.jpg_.webp,"Rs. 39,500",114820460_PK-1266640670,"Product details of Gree 0.75 Ton Window Air Conditioner with Remote Control - White

Specifications of Window Air Conditioner With Remote Control - 0.75 Ton - White
Not Obsolete Window Air Conditioner

One of the cheapest solutions for home cooling is to find afunctionoverquality. Besides, an ideal windowair conditioneravailable online in Pakistan should function between 9,000 to 14,000 BTUs on the upside. Its costs less, yet it benefits in the long term and the installation process is adequately simple. Multiple factors such as design, the right size, and brand carry additional aspects that is directly depended in the space provided for cooling.

Best Air Conditioner Online in Pakistan

Have you considered the idea to buy 0.75ton air conditioner in Pakistan if your need is to cool a single room? Whereas, if the solution requires for a bigger space cooling then turn towards split air conditioners online as these accumulate more space but gives more cooling. Take measurements before you begin your purchase, for example, that about 8,000 BTUs are enough to freeze 350 square feet of space throughout the day. Window air conditioner consists of a compressor, evaporator, and condenser.

Why Choose Window AC over Split AC?

Basically it is the old version of the modernsplit air conditioneryou are accustomed to see around the electronic sphere. What sets the two models apart is the design and installation (function). Window air conditioner is fixed when its cooling fins are facing indoors, but the heating unit is kept on the opposing side. Firstly, the inner compartments contains fans at the front with evaporators behind and its filter in the middle that’s operated via the central control panel. Secondly, the condenser along with the compressor is mashed in a box that is kept outward for noise reduction and of course to minimize the space.

Almost equally powerful – as explained above – a 0.75ton air conditioner in Pakistan is available according to the home and office requirement of any consumer.",Gree,1 x 0.75 Ton Window Air Conditioner - White 1 x Manual 1 x Remote Control,Yes,Yes,N/A,",Fast Cooling,Silent Mode","Inverter,Fast Cooling,Silent Mode",Window Air Conditioner,60% Energy Saving with R410A Gas,9000,30-90 sq meters,850,SKY-9KBTU
Gree 1.5 Ton Dc Inverter AC Heat & Cool R-410A Air Conditioner - 18cith12G - Grey,www.daraz.pk/products/gree-15-ton-dc-inverter-ac-heat-cool-r-410a-air-conditioner-18cith12g-grey-i105616318-s1253002672.html?search=1,https://static-01.daraz.pk/p/776ca136450026e270527d364d475c35.jpg_340x340q80.jpg_.webp,"Rs. 92,999",105616318_PK-1253002672,"Gree Electric Appliances Inc. of Zhuhai was founded in 1991. It is an international air conditioning enterprise which has integrated R&D, manufacturing, marketing, and service. It takes “Master of Core Technology” as the business concept and “To build a centenary enterprise” as the development target. It is leading the industry with its excellent product quality, advanced technologies, and unique sales model. So far, it has developed three brands, namely GREE, TOSOT, and KINGHOME, with a wide product range which includes residential air conditioners, central air conditioners, air source water heaters, TOSOT home appliances, Kinghome refrigerators, etc

Summer Would be Cooler than Ever!

This Inverter Split Air Conditioner will make this summer cooler than ever with its instant cooling and amazing efficiency. The amazing is at your service to keep the terrible heat out while providing terrific cooling in.

Loaded with Finesse & Style

A visually appealing addition to the room never goes unnoticed, the ultimate inverter AC offers a wide range of superb features with a great look that will add on to your rooms.

Electricity Bill is No Worry!

The Inverter Split Air Conditioner starts on a low voltage and does not take the budget out of your range. This Inverter AC has every feature that makes life easier for you. While you provide the best way to prevent heat to your home this summer, it will take care of your pocket.",Gree,"1 x Indoor,1 x Outdoor,1 x Remote Controller,1 x Warranty Card",No,Yes,1 year parts warranty,Yes,N/A,N/A,N/A,N/A,N/A,N/A,18cith12g
Gree 18CITH12G - Inverter AC - 1.5 Ton - Black & White,www.daraz.pk/products/gree-18cith12g-inverter-ac-15-ton-black-white-i2334302-s10469281.html?search=1,https://static-01.daraz.pk/original/7d3af98a3ce2ad7964831578883a0d81.jpg_340x340q80.jpg_.webp,"Rs. 82,000",GR678HL0I3FWCNAFAMZ-1904554,"Summer Would Be Cooler Than Ever!
GREE Inverter Split Air Conditioner will make this summer cooler than ever with it’s instant cooling and amazing efficiency. The amazing GS-18CITH is at your service to keep the terrible heat out while providing terrific cooling in.

Loaded With Finesse & Style
A visually appealing addition to the room never goes unnoticed, the GREE GS-18CITH offers a wide range of superb features with a great look that will add on to your rooms. Great look of this GREE AC will speak out loud for your taste. Looks and features can be provided in one with this amazing GREE AC.

Electricity Bill Is No Worry!
The Gree Inverter Split Air Conditioner starts on a low voltage and does not take the budget out of your range. Gree Split Ac has every feature that makes life easier for you. While you provide the best way to prevent heat to your home this summer, GREE will take care of your pocket.",Gree,1 x GS-18CITH - Inverter Split Air Conditioner - 1.5 Ton - White1 x Manual1 x Warranty1 x Remote,No,No,BRAND WARRANTY,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Gree 1.0 Ton Dc Inverter AC Heat & Cool R-410A Air Conditioner - 12cith12G - Grey,www.daraz.pk/products/gree-10-ton-dc-inverter-ac-heat-cool-r-410a-air-conditioner-12cith12g-grey-i105610333-s1253012621.html?search=1,https://static-01.daraz.pk/p/776ca136450026e270527d364d475c35.jpg_340x340q80.jpg_.webp,"Rs. 69,999",105610333_PK-1253012621,"Gree Electric Appliances Inc. of Zhuhai was founded in 1991. It is an international air conditioning enterprise which has integrated R&D, manufacturing, marketing, and service. It takes “Master of Core Technology” as the business concept and “To build a centenary enterprise” as the development target. It is leading the industry with its excellent product quality, advanced technologies, and unique sales model. So far, it has developed three brands, namely GREE, TOSOT, and KINGHOME, with a wide product range which includes residential air conditioners, central air conditioners, air source water heaters, TOSOT home appliances, Kinghome refrigerators, etc

Summer Would be Cooler than Ever!

This Inverter Split Air Conditioner will make this summer cooler than ever with its instant cooling and amazing efficiency. The amazing is at your service to keep the terrible heat out while providing terrific cooling in.

Loaded with Finesse & Style

A visually appealing addition to the room never goes unnoticed, the ultimate inverter AC offers a wide range of superb features with a great look that will add on to your rooms.

Electricity Bill is No Worry!

The Inverter Split Air Conditioner starts on a low voltage and does not take the budget out of your range. This Inverter AC has every feature that makes life easier for you. While you provide the best way to prevent heat to your home this summer, it will take care of your pocket.

Free Installation Services:

Free Installation is Only available for those items where Installation offer is displayed.Free Installation is available in Karachi, Lahore & Islamabad Only.

After the product has been delivered, you are welcome to contact one of our authorized service engineers to facilitate the installation. You can find details of the installation partners and their coverage areas in the link shared below. Installation TAT is typically 2-5 days depending on the location and the partner.

When booking an installation with one of our partners, you must always provide your order number. If any free installation offer is available, we will need the order number for identification.

Click on the link to avail free installation offer:https://www.daraz.pk/installation-services/",Gree,"1 x Indoor,1 x Outdoor,1 x Remote Controller,1 x Warranty Card",No,Yes,1 year parts warranty,Yes,N/A,N/A,N/A,N/A,N/A,N/A,12cith12g
AC Gree 18FITH1C 1.5 ton DC Inverter Split AC 50% to 70% Energy Saving,www.daraz.pk/products/ac-gree-18fith1c-15-ton-dc-inverter-split-ac-50-to-70-energy-saving-i122104272-s1278148366.html?search=1,https://static-01.daraz.pk/p/c0779f4a9f2f4c3f3dc0779f2d03314b.jpg_340x340q80.jpg_.webp,"Rs. 98,499",122104272_PK-1278148366,"Description
Elegant White Finish
1st European Compliant Heat And Cool Ac
Latest Powerful G-10 Inverter
Energy Efficient Class A+ (Up To 60% Electricity Saving)
Low Voltage Startup – 150v
Ultra Low Frequency Torque Control
State Of The Art High Speed DSP Chip
4 Way Air Flow
Precise Temperature Control
Faster Cooling and Heating
Eco Friendly Refrigerant R410a
Wide Frequency Precise Control
Power Factor Correction 99%
Ultra Low Noise Control
Computer Simulation Control
Auto Voltage Adaptation (150-260 V)
Ceiling Cooling and Floor Heating System
Integrated Design
Dual Installation (Both Sides Option)
Auto Restart
Fire Proof Electric Box
Self-Diagnosis
Switch Mode Power Supply (SMPS)
High Temperature Resistance (Printed Circuit Board)
Turbo Cooling
3 Sleep Curves
Double Layer Condenser",Gree,"1 x (Inner Part, Outer Part, Remote Control, User Manual, Warranty Card)",Yes,Yes,As Per Company Policy,",Timer,Dehumidifier,Air Direction Control,Auto Cleaning,Fast Cooling,Silent Mode,Sensor Control","Inverter,Timer,Dehumidifier,Air Direction Control,Auto Cleaning,Fast Cooling,Silent Mode,Sensor Control",Split system 4,50% to 70% Energy Saving,18000,150-250 sq meters,1500,18FITH1C
