slug,cutting_price,thumbnails,title,image,price,sku,description/0,brand,box,electronics_features,energy_rating,warranty_period,required_serial,speakers_config,refresh_rate,display_resolution,tv_technology,model,warranty_type,product_warranty,color_family,short_description_en,name_en,description_en,curved_tv,product_warranty_en,quantity,delivery_option_economy,special_price,special_from_date,special_to_date,seller_promotion,package_weight,package_length,package_width,package_height,tax_class,hazmat,express_delivery,usb_ports,tv_resolution,number_of_hdmi_ports,smart_tv,display_size_tv,cinema_3d
orient-40-inch-hd-led-tv-black,"Rs. 35,000","https://static-01.daraz.pk/p/0f8b76a9796217dbe77b5c5ed5b03768.jpg_80x80q80.jpg_.webp,https://static-01.daraz.pk/p/ae712f23c0156a300dd7a7abc0068e7d.jpg_80x80q80.jpg_.webp",Orient 40 inch - HD LED TV - Black,https://static-01.daraz.pk/p/0f8b76a9796217dbe77b5c5ed5b03768.jpg_340x340q80.jpg_.webp,"Rs. 29,499",OR771EL0K453SNAFAMZ-1784907,Orient 40 inch - HD LED TV - Black,Orient,1 x 40 inch - HD LED TV - Black1 x Remote1 x Manual,N/A,N/A,N/A,N/A,N/A,50 Hz,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,HD Ready (1366 x 768),1,No,40,N/A
eco-star-32-inch-hd-led-tv-cx-32u571,"Rs. 26,000",https://static-01.daraz.pk/original/09b03e88b3c564cae2e7de1666e794bb.jpg_80x80q80.jpg_.webp,Eco Star 32 inch HD LED TV - CX-32U571,https://static-01.daraz.pk/original/09b03e88b3c564cae2e7de1666e794bb.jpg_340x340q80.jpg_.webp,"Rs. 19,499",EC810EL10XGPUNAFAMZ-5677833,"Kindly Visit Recharge & Estore To Purchase Professional Installation Services

Specification
Technical
Screen Size: 32""
Screen Type: HD
Screen Resolution: 1366 x 768
USB Connectivity:Video, Audio, Images
HDMI: x2
PC-Input:Video & Audio
Programmable Sleep Timer: Yes
Motion Processing:Motion Engine
Panel: A Grade
Real Color Engine: Yes
Reflecto-Con: Yes
Nature View: Yes
DynaCon: Yes
Image Refinery: Yes
Digital Comb Filter: Yes
Energy Saving: Yes
Digital Multimedia Controller: Yes
Surround Sound: Yes
Program Memory: 199 Channels
Composite Video: In & Audio Out
Auto Power Off: Yes
Wide Viewing Angle: Yes
Digital Noise Reduction: Yes
RF Signal System:Analog: Pal, BG, DK, I SECAM: BG, D/K
Power Consumption: 55W
Stand-by: 0.5W
Power Supply:AC 100~240V 60/50Hz
Operating Temperature:5?C ~ 40?C
Humidity:10% ~ 85%
Dimensions & Weights
TV with Stand:730 x 485 x 207 mm
TV without Stand:730 x 430 x 76 mm
TV with Stand: 3.9 Kg
TV without Stand: 3.8 Kg",Ecostar,"1x LED, 1x Remote Control, 1x Stand, 1x Wall Mount, 1x Manual(s), 1x Warranty Card",N/A,N/A,N/A,N/A,N/A,50 Hz,1366 x 768,LED,CX-32U571P,N/A,ENPanel & Parts Warranty,N/A,N/A,N/A,N/A,No,Panel & Parts Warranty,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,HD Ready (1366 x 768),2,No,32,No
ecostar-cx-32u571-32-inch-sound-pro-hd-led-tv-black,"Rs. 23,000",https://static-01.daraz.pk/p/434d1195e431d6d3c7f2a773c6863e73.jpg_80x80q80.jpg_.webp,Ecostar CX-32U571 32 inch Sound Pro HD LED TV - Black,https://static-01.daraz.pk/p/434d1195e431d6d3c7f2a773c6863e73.jpg_340x340q80.jpg_.webp,"Rs. 19,495",EC217EL0J975ANAFAMZ-3513306,"Image Refinery

ability to produce not only deeper black & white contrast but also enhances the color spectrtum of the images. enables motion engine to work efficiently resulting into the ultimate output of colors.

Nature View

see colors as they were meant to be seen. every IMage Looks Closest the nature

Motion Engine

Catch Fast moving objects more smoothely

Plugin Your Entertainment

Plug and play desired content in best possible resolution with USB or HDMI

DWP Group is a leading provider of products, service and solutions in the field of Consumer Electronics & Technology. Globally acclaimed, highly reliable products with cutting-edge technology from the worldâs best engineered companies and experts uniquely position us to deliver comprehensive solutions to our customers.

From the house DWP Group, we introduce EcoStar- a brand name of quality and technological excellence. Carrying the legacy of DWP, EcoStar is accompanied by state-of-the-art consumer electronic solutions along with prompt after-sales support. So that our customers remain satisfied and motivate us to keep delivering them the best.

Simplified LED TV Experience!

With this high quality LED TV, experience the world of entertainment with the best standard energy efficiency. Get the best in sound quality with custom high watt sound output which is certain to rock your world. This LED TV promises to deliver incredibly life-like, dynamic and dramatic pictures that also contain more detail and color information in bright areas than you've ever seen before. It is able to deliver some gorgeously deep black colors alongside that ground-breaking brightness. So what are you waiting for? Get your hands on this product now! You can buy this product online in Pakistan, exclusively from Daraz.pk.

Specifications
Display
Display Size: 32""
Display Type: HD LED
Resolution: 1366 x 768
Aspect Ratio: 16:9
Audio
Surround Sound: Yes
Video
Motion Processing: Motion Engine
Real Color Engine: Yes
Reflecto-Con: Yes
Nature View: Yes
DynaCon: Yes
Image Refinery: Yes
Digital Comb Filter: Yes
Wide Viewing Angle: Yes
Digital Noise Reduction: Yes
Power
Power Consumption:55W
Power Consumption (Stand-by): 0.5W
Power Supply:AC 100~240V 60/50Hz
Inputs & Outputs
1 x USB 2.0
2 x HDMI
1 xPC Input
1 xComposite Video
Other Features
Panel: A Grade
Energy Saving: Yes
Digital Multimedia Controller: Yes
Program Memory: 199 Channels
Auto Power Off: Yes
RF Signal System:Analog: Pal, BG, DK, I SECAM: BG, D/K
Operating Temperature: 5á¶C ~ 40á¶C
Humidity: 10% ~ 85%
Dimensions
Dimensions with Stand:730 W x 485 H x 207 D mm
Dimensions without Stand:730 W x 430 H x 76 D mm
Weight with Stand:3.9 Kg
Weight without Stand:3.8 Kg
EMI (Easy Monthly Installment)

Find it difficult to make the payment in full? Daraz.pk offers you with the service of Easy Monthly Instalments. You can shop whatever you like and pay in installments with our payment partners for any purchases equal or over PKR 10,000. The EMI facility does not have any markup, processing fee or hidden charges. With the EMI Installment Calculator, you can easily figure out the monthly payment as per the tenure.

Q. How to order on EMI via Credit Cards?

A. You need to place an order through Daraz.pk website or Daraz.pk App and on the checkout page in the payment selection tab simply choose the following and enter your card details.

EMI 3 Months
EMI 6 Months
EMI 12 Months",Warranty,"LED, Remote Control, Batteries for Remote, User Manual, Base Stand, Wall Mount Bracket, Warranty Card",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CX-32U571,N/A,EN02 Year Brand Warranty,N/A,N/A,N/A,N/A,N/A,02 Year Brand Warranty,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
sony-bravia-klv-40w652d-40-led-hd-readyfull-hd-smart-tv,"Rs. 98,000",https://static-01.daraz.pk/p/edd637a14f8029069795af21f502a737.jpg_80x80q80.jpg_.webp,Sony BRAVIA KLV-40W652D 40 LED HD Ready/Full HD Smart TV,https://static-01.daraz.pk/p/edd637a14f8029069795af21f502a737.jpg_340x340q80.jpg_.webp,"Rs. 68,999",SO638EL1BU7WENAFAMZ-3515384,N/A,Warranty,"1x LED TV, 1x Remote wtih Batteries, Wall Bracket",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,KLV-40W652D,N/A,EN1 Year Brand Warranty,N/A,N/A,N/A,N/A,N/A,1 Year Brand Warranty,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,40,N/A
32-inch-led-tv-samsung-4k-uhd-wide-colour-enhancer-model-2020,"Rs. 22,000","https://static-01.daraz.pk/p/39769e32ce71775860f92385b24b5081.jpg_80x80q80.jpg_.webp,https://static-01.daraz.pk/p/dfb88d8767884fec2c6a48d0b627d363.jpg_80x80q80.jpg_.webp,https://static-01.daraz.pk/p/16fea1d3ad69f634ce8a15dc0d8e3676.jpg_80x80q80.jpg_.webp,https://static-01.daraz.pk/p/ece4fe1b8c4c6804f24c186985c0d28a.jpg_80x80q80.jpg_.webp,https://static-01.daraz.pk/p/64586bfe796f98529ea500176ada3250.jpg_80x80q80.jpg_.webp,https://static-01.daraz.pk/p/31467200a263ae10e25cccf2f240832e.jpg_80x80q80.jpg_.webp,https://static-01.daraz.pk/p/e1405140ce063567c03a49f673885ab1.jpg_80x80q80.jpg_.webp",32 Inch LED TV Samsung 4K UHD Wide Colour Enhancer Model 2020,https://static-01.daraz.pk/p/39769e32ce71775860f92385b24b5081.jpg_340x340q80.jpg_.webp,"Rs. 16,900",132479549_PK-1292685582,"32 Inch Ultra HD, Sound Pro, Wide Colours, Resolution 3840×2160, Crystal Colours Samsung LED TV",led tv Malaysian,"LED TV, Remote,Warrenty Card, User Manual, Stand",N/A,N/A,N/A,N/A,N/A,N/A,2160p,QLED,QLED2020,N/A,EN1 Year Service Warrenty,N/A,N/A,N/A,N/A,No,1 Year Service Warrenty,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,4K Ultra HD (2160p / 3840x2160),1,No,32,No
tcl-d3000a-32-hd-led-tv-black,"Rs. 22,990","https://static-01.daraz.pk/original/536560c880da7421f36e785e415f5359.jpg_80x80q80.jpg_.webp,https://static-01.daraz.pk/original/bc860f2ab22b99e8901cc5d1215c4fa1.jpg_80x80q80.jpg_.webp,https://static-01.daraz.pk/original/bc55371b90743e6ee89ad1667d1db95b.jpg_80x80q80.jpg_.webp",TCL D3000A - 32 HD LED TV - Black,https://static-01.daraz.pk/original/536560c880da7421f36e785e415f5359.jpg_340x340q80.jpg_.webp,"Rs. 21,999",TC855EL0LTXKCNAFAMZ-1674373,"With TCL’s high quality LED backlighting, view darker blacks and luminous brightness while maintaining the best standards in Energy Efficiency. Get the best in Sound Quality with TCL’s custom high watt Sound Output which is certain to Rock Your World",Warranty,"LED, Remote, Batteries, Wall Mount, Stand, Manual(s), Warranty Card",N/A,N/A,N/A,N/A,2.0,50 Hz,720 x 1280 pixels,N/A,TCL D3000A - 32 HD LED TV - Black,N/A,EN2-Years Brand Warranty,N/A,N/A,N/A,N/A,N/A,2-Years Brand Warranty,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,HD Ready (1366 x 768),2,No,32,N/A
nobel-32-inch-hd-ready-led-tv-32m1-black,,https://static-01.daraz.pk/original/176da2b93fb0f999dcd152f42b174cd7.jpg_80x80q80.jpg_.webp,NOBEL 32 Inch HD Ready LED TV 32M1 - Black,https://static-01.daraz.pk/original/176da2b93fb0f999dcd152f42b174cd7.jpg_340x340q80.jpg_.webp,"Rs. 19,400",NO788EL1DSDR8NAFAMZ-4245707,N/A,Warranty,1 x 32 Inch HD Ready LED TV - Black1 x Remote1 x Base1 x Warranty card1x Manual,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,EN1- Year Brand Warranty,N/A,N/A,N/A,N/A,N/A,1- Year Brand Warranty,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,32,N/A
led40f3300g-40-inch-gaming-tv-full-hd-panel-built-in-sound-system,"Rs. 40,000",https://static-01.daraz.pk/p/61509c66b7a3634452043ce69b237698.jpg_80x80q80.jpg_.webp,"LED40F3300G, 40'' inch GAMING TV, Full HD Panel - Built-In Sound System.",https://static-01.daraz.pk/p/61509c66b7a3634452043ce69b237698.jpg_340x340q80.jpg_.webp,"Rs. 27,999",CH777EL1D6BX6NAFAMZ-3204149,N/A,Changhong Ruba,1 x LED 1 x Remote 1 x Remote Batteries 1 x Manual(s) 1 x FOC Wall Bracket 1 x Y Feet Stand 1 x Screws 1 x Warranty Card,N/A,N/A,N/A,N/A,N/A,N/A,1920 x 1280 pixels,N/A,N/A,N/A,EN2 Years warranty (parts & panel),N/A,N/A,N/A,N/A,N/A,2 Years warranty (parts & panel),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
samsung-32n5300-led-smart-tv-32-inch,"Rs. 46,999","https://static-01.daraz.pk/original/9ecc0978b1f280727c770675e324f436.jpg_80x80q80.jpg_.webp,https://static-01.daraz.pk/p/c5f52cf3602b764affa3ca2107cce390.jpg_80x80q80.jpg_.webp,https://static-01.daraz.pk/original/73849cd40a742bf9eca2047ac88cff95.jpg_80x80q80.jpg_.webp,https://static-01.daraz.pk/original/3340aec73faf8b9822c95075cd626307.jpg_80x80q80.jpg_.webp,https://static-01.daraz.pk/original/f257ba3a5f162dd6ec00e71478c2ecca.jpg_80x80q80.jpg_.webp",Samsung - 32N5300 LED Smart TV - 32'' inch,https://static-01.daraz.pk/original/9ecc0978b1f280727c770675e324f436.jpg_340x340q80.jpg_.webp,"Rs. 41,799",100795857_PK-1246160881,"Enjoy smart beyond expectation

* Actual product may differ from image shown. Please see our product gallery.

World’s No.1 TV brand 12 years running

Samsung is the world’s No. 1 TV brand, leading the industry with the highest market share for 12 straight years. With Samsung TV, you can enjoy advanced technology, outstanding design, innovative services, and the content partnerships that consumers demand.

*Specifications may vary depending on model or region. *Results based on IHS Markit, Technology Group, TV Sets Intelligence Service – Premium, Annual Unit and Annual Revenue Basis, 2006 – 2017. Information is not an endorsement of Samsung. Any reliance on these results is at the third party's own risk. Visit www.technology.ihs.com for more details.*Results based on Futuresource Consulting, Worldwide TV Market Share by Manufacturer - Annual unit basis.

HDR, see more details

Watch HDR content with better clarity and detailed colour expression. Samsung HD TV gives you more accurate details in bright and dark scenes.

* Supports HDR10 content only.

Ultra clean view

Analyzing original content with an advanced algorithm, Ultra Clean View gives you higher quality images with less distortion. Enjoy the clear picture.

PurColour

Watch your favourite content with natural colours that deliver details as crisp as the real thing. Get a more colourful viewing experience.

Micro Dimming Pro

Experience shadow detail and colour. Dividing the screen into zones, Micro Dimming Pro analyzes each one for deeper blacks and purer whites.

An intelligent way to enjoy the smart TV
Availability of the feature and Graphic User Interface (GUI) may vary by region. Check before use.

Get to your entertainment the faster, easier, and intelligent way. One Depth gathers a variety of content for you on one screen. Get easy access to different content providers and check out the thumbnail previews before diving in.

* Smart service and GUI(Graphic User Interface) may vary by model and region.

SmartThings App, just one app for all
Availability of the feature and Graphic User Interface (GUI) may vary by region. Check before use.

The SmartThings app also offers features such as Remote Control, and Mirror Screen.

* SmartThings compatible devices may vary by region. * This function may differ by mobile and OS(Operation System). * Download and installation of SmartThings app are required.

Mobile Set-up
Step 1.

Download and open SmartThings App to set up Smart TV. *

Step 2.

Network and Samsung Account information will be shared with your TV automatically, initiating setup from your mobile. **

Step 3.

Select the apps you want to enjoy and add them to the Smart Hub.

Step 4.

That’s it! Now, just kick back and enjoy your Smart TV! ***

Availability of the feature and Graphic User Interface (GUI) may vary by region. Check before use.* A Samsung Account is required to set up TV via mobile.** Wi-Fi connection on your mobile is required to share network information with your TV.*** TV set-up process can also be done by remote control
Content Sync & Share

Take full advantage of the Samsung Cloud. Seamlessly connect your Samsung smart devices to sync photos. Now you can share your mobile pictures and enjoy it on the TV or refrigerator screen.

* Compatible devieces only.* Availability of the feature may vary depending on the model.

More Contents

It doesn't stop here. Endless content awaits.

TV Plus
Availability of the feature and Graphic User Interface (GUI) may vary by region. Check before use.

TV Plus offers latest content and movies so you enjoy a cinematic experience at the comfort of your own home.

* TV Plus service and GUI may vary by region.

Steam Link
Availability of the feature and Graphic User Interface (GUI) may vary by region. Check before use.

Enjoy your high speed PC games on the TV via Steam Link. Play your favourite PC games on the big screen without having to squint and hunch over a small monitor.",Samsung Appliances,"1x LED, 1x Remote, 1x Batteries, 1x Wall Mount, 1x Stand, 1x Manual(s), 1x Warranty Card",N/A,N/A,N/A,N/A,N/A,N/A,"1,366 x 768",LED,32N5300,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,HD Ready (1366 x 768),2,No,32,No
global-24-icnhes-full-hd-led-tv-g24-2-year-brand-warraty,"Rs. 14,999",https://static-01.daraz.pk/p/c511e88614698be5eb1b1db2e05fe7da.jpg_80x80q80.jpg_.webp,Global - 24 icnhes Full HD Led Tv - G24 - 2 Year Brand Warraty,https://static-01.daraz.pk/p/c511e88614698be5eb1b1db2e05fe7da.jpg_340x340q80.jpg_.webp,"Rs. 8,500",134174089_PK-1294530968,"Screen Size 24 Inches
Screen Type LED
Crystal Glass Screen
Slim and Smart
Screen Resolution 1366 x 768 Pixels
Connectivity HDMI VGA USB AUX GAME
PC input / output",Globals,"Led Tv, Remote, Wall Stand, Table Stand",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,G24,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
